L value (g1),Actual Luminance (g1),RGB (g1),Lab (g1),L value (g2),Actual Luminance (g2),RGB (g2),Lab (g2),Final Angular Velocity
79.13615099,161.1110469,"(199, 204, 0)","(79.13615098726967, -21.56, 94.48)",89.32418008,161.1110469,"(248, 174, 255)","(89.32418008077396, 79.2, -107.86)",-0.2
83.84638216,192.7923322,"(213, 217, 0)","(83.84638215695699, -21.56, 94.48)",95.64018412,192.7923322,"(255, 192, 255)","(95.64018412020792, 79.2, -107.86)",-0.1
67.51679798,100.2765316,"(164, 172, 0)","(67.51679797914417, -21.56, 94.48)",77.05304243,100.2765316,"(207, 139, 255)","(77.05304242556556, 79.2, -107.86)",-0.1
74.35682086,79.58863152,"(255, 100, 61)","(74.35682085569981, 80, 67)",71.09438273,79.58863152,"(187, 123, 255)","(71.09438272747747, 79.2, -107.86)",-0.4
68.14919298,70.62415156,"(177, 115, 255)","(68.14919297526507, 79.2, -107.86)",67.92088573,70.62415156,"(255, 78, 45)","(67.92088572969651, 80, 67)",0.5
75.97861618,141.5595914,"(189, 195, 0)","(75.97861617739225, -21.56, 94.48)",72.10099591,141.5595914,"(0, 208, 0)","(72.10099590598618, -86.18, 83.18)",0.6
80.79555581,196.6552551,"(0, 234, 0)","(80.79555580704137, -86.18, 83.18)",96.43732049,196.6552551,"(255, 194, 255)","(96.43732049024885, 79.2, -107.86)",-0.3
40.58363154,24.28586772,"(89, 103, 0)","(40.58363154172231, -21.56, 94.48)",31.2507207,24.28586772,"(181, 0, 0)","(31.25072069997208, 80, 67)",-0.6
96.27230543,195.8555921,"(255, 194, 255)","(96.27230543014282, 79.2, -107.86)",84.29383466,195.8555921,"(215, 218, 0)","(84.29383466469064, -21.56, 94.48)",0.7
51.5775824,56.75638499,"(0, 150, 0)","(51.57758239595474, -86.18, 83.18)",62.72332284,56.75638499,"(158, 100, 255)","(62.723322840913205, 79.2, -107.86)",0.9
80.43931908,169.4675784,"(203, 207, 0)","(80.4393190809349, -21.56, 94.48)",76.63148043,169.4675784,"(0, 222, 0)","(76.63148042831675, -86.18, 83.18)",-0.6
10.4282217,11.2069575,"(0, 0, 190)","(10.428221700384043, 79.2, -107.86)",17.01070385,11.2069575,"(136, 0, 0)","(17.010703848005452, 80, 67)",-0.3
51.0185258,57.12575321,"(247, 0, 0)","(51.01852579535086, 80, 67)",55.60939693,57.12575321,"(129, 141, 0)","(55.60939693365533, -21.56, 94.48)",-0.3
31.7519698,24.88937164,"(182, 0, 0)","(31.751969798168048, 80, 67)",37.19795199,24.88937164,"(0, 110, 0)","(37.19795199342553, -86.18, 83.18)",-0.5
79.44407485,163.0177115,"(200, 204, 0)","(79.44407485089698, -21.56, 94.48)",89.64966055,163.0177115,"(249, 175, 255)","(89.64966054570743, 79.2, -107.86)",0.5
51.53082403,58.00383238,"(249, 0, 0)","(51.53082402519972, 80, 67)",51.98873842,58.00383238,"(0, 151, 0)","(51.98873842425588, -86.18, 83.18)",-0.6
24.74173159,19.91662943,"(0, 0, 232)","(24.741731587406477, 79.2, -107.86)",37.35821099,19.91662943,"(81, 95, 0)","(37.35821099130254, -21.56, 94.48)",-0.4
